nodes_active,nodes_removed,nodes_merged,nodes_w_parents,nodes_w_children,edges
15,161,0,15,0,0
15,161,0,15,0,0
15,161,0,15,0,0
15,161,0,15,0,0
14,162,0,14,0,0
14,162,0,14,0,0
14,162,0,14,0,0
14,162,0,14,0,0
14,162,0,14,0,0
14,162,0,14,0,0
14,162,0,14,0,0
14,163,0,14,0,0
14,163,0,14,0,0
14,164,0,14,0,0
14,165,0,14,0,0
14,166,0,14,0,0
14,167,0,14,0,0
13,168,0,13,0,0
13,168,0,13,0,0
13,168,0,13,0,0
13,168,0,13,0,0
14,168,0,14,0,0
14,169,0,14,0,0
14,170,0,14,0,0
14,171,0,14,0,0
14,172,0,14,0,0
14,173,0,14,0,0
14,173,0,14,0,0
14,173,0,14,0,0
14,173,0,14,0,0
14,174,0,14,0,0
14,175,0,14,0,0
13,176,0,13,0,0
13,176,0,13,0,0
13,176,0,13,0,0
13,176,0,13,0,0
13,176,0,13,0,0
13,176,0,13,0,0
13,176,0,13,0,0
13,176,0,13,0,0
14,176,0,14,0,0
14,177,0,14,0,0
14,178,0,14,0,0
14,178,0,14,0,0
14,178,0,14,0,0
14,178,0,14,0,0
14,178,0,14,0,0
13,179,0,13,0,0
13,179,0,13,0,0
13,179,0,13,0,0
12,180,0,12,0,0
12,180,0,12,0,0
12,180,0,12,0,0
12,180,0,12,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
11,181,0,11,0,0
12,181,0,12,0,0
11,182,0,11,0,0
11,182,0,11,0,0
11,182,0,11,0,0
11,182,0,11,0,0
11,182,0,11,0,0
11,182,0,11,0,0
11,182,0,11,0,0
11,182,0,11,0,0
11,182,0,11,0,0
11,182,0,11,0,0
11,182,0,11,0,0
11,182,0,11,0,0
11,182,0,11,0,0
11,182,0,11,0,0
11,182,0,11,0,0
11,182,0,11,0,0
11,182,0,11,0,0
11,182,0,11,0,0
12,182,0,12,0,0
12,183,0,12,0,0
12,184,0,12,0,0
12,185,0,12,0,0
12,185,0,12,0,0
12,185,0,12,0,0
12,185,0,12,0,0
12,185,0,12,0,0
12,185,0,12,0,0
13,185,0,13,0,0
13,185,0,13,0,0
13,186,0,13,0,0
13,187,0,13,0,0
15,188,0,15,0,0
15,191,0,15,0,0
16,194,0,16,0,0
16,197,0,16,0,0
17,198,0,17,0,0
18,200,0,18,0,0
16,203,0,16,0,0
16,204,0,16,0,0
18,205,0,18,0,0
16,208,0,16,0,0
16,209,0,16,0,0
16,210,0,16,0,0
16,211,0,16,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
15,212,0,15,0,0
